Starting protocol generation for liver_organoids with prompt b8f1010cfd96694f172266a628361ccb... using model llama3.1:8b
Generating protocol 1 for model llama3.1:8b
**Liver Organoid Generation Protocol from H9 hESC**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
Generating protocol 55 for model llama3.1:8b
Here is the detailed protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37 | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37 | 7.4 | 20% |
| 2   | mTeSR1+2i | 50 RPM | 6-well plate, 9.5 cm²/well | Fibroblast growth factor 4 (FGF4) (200 ng/mL), Vascular endothelial growth factor A (VEGF-A) (100 ng/mL) | 37 | 7.3 | 18% |
| 3   | mTeSR1+2i | 50 RPM | 6-well plate, 9.5 cm²/well | Yes-associated protein (YAP) (500 nM), Notch inhibitor DAPT (10 μM) | 37 | 7.3 | 18% |
| 4   | mTeSR1+2i | 50 RPM | 6-well plate, 9.5 cm²/well | FGF4 (200 ng/mL), VEGF-A (100 ng/mL), N-acetyl cysteine (NAC) (10 mM) | 37 | 7.3 | 18% |
| 5   | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | Insulin-like growth factor 1 (IGF-1) (100 ng/mL), TGF-beta 1 (TGF-β1) (1 ng/mL) | 37 | 7.5 | 20% |
| 6   | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | Heparin (100 μg/mL), dexamethasone (1 μM) | 37 | 7.5 | 20% |
| 7   | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | FGF4 (200 ng/mL), VEGF-A (100 ng/mL), IGF-1 (100 ng/mL) | 37 | 7.5 | 20% |
| 8   | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | TGF-β1 (1 ng/mL), NAC (10 mM), Dexamethasone (1 μM) | 37 | 7.5 | 20% |
| 9   | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | HGF (100 ng/mL), EGF (10 ng/mL), VEGF-A (100 ng/mL) | 37 | 7.5 | 20% |
| 10  | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | TGF-β1 (1 ng/mL), Dexamethasone (1 μM), NAC (10 mM) | 37 | 7.5 | 20% |
| 11  | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | FGF4 (200 ng/mL), VEGF-A (100 ng/mL), IGF-1 (100 ng/mL) | 37 | 7.5 | 20% |
| 12  | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | HGF (100 ng/mL), EGF (10 ng/mL), VEGF-A (100 ng/mL) | 37 | 7.5 | 20% |
| 13  | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | TGF-β1 (1 ng/mL), Dexamethasone (1 μM), NAC (10 mM) | 37 | 7.5 | 20% |
| 14  | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | FGF4 (200 ng/mL), VEGF-A (100 ng/mL), IGF-1 (100 ng/mL) | 37 | 7.5 | 20% |
| 15  | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | HGF (100 ng/mL), EGF (10 ng/mL), VEGF-A (100 ng/mL) | 37 | 7.5 | 20% |
| 16  | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | TGF-β1 (1 ng/mL), Dexamethasone (1 μM), NAC (10 mM) | 37 | 7.5 | 20% |
| 17  | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | FGF4 (200 ng/mL), VEGF-A (100 ng/mL), IGF-1 (100 ng/mL) | 37 | 7.5 | 20% |
| 18  | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | HGF (100 ng/mL), EGF (10 ng/mL), VEGF-A (100 ng/mL) | 37 | 7.5 | 20% |
| 19  | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | TGF-β1 (1 ng/mL), Dexamethasone (1 μM), NAC (10 mM) | 37 | 7.5 | 20% |
| 20  | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | FGF4 (200 ng/mL), VEGF-A (100 ng/mL), IGF-1 (100 ng/mL) | 37 | 7.5 | 20% |
| 21  | DMEM/F12+10% K-SFM | 50 RPM | 24-well plate, 2 cm²/well | HGF (100 ng/mL), EGF (10 ng/mL), VEGF-A (100 ng/mL) | 37 | 7.5 | 20% |

Generating protocol 56 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37 | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37 | 7.3 | 18% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (20 ng/mL) | 37 | 7.3 | 15% |
| 3   | E8 Medium | 0 RPM | 24-well plate, 2 cm²/well | Wnt3a (50 ng/mL) | 37 | 7.5 | 22% |
| 4   | E8 Medium | 0 RPM | 24-well plate, 2 cm²/well | Wnt3a (50 ng/mL), L-WNT-3A (10 ng/mL) | 37 | 7.5 | 20% |
| 5   | E8 Medium | 100 RPM | 6-well plate, 9.5 cm²/well | Bmp4 (200 ng/mL) | 37 | 7.2 | 18% |
| 6   | E8 Medium | 100 RPM | 6-well plate, 9.5 cm²/well | Bmp4 (200 ng/mL), Activin A (50 ng/mL) | 37 | 7.2 | 15% |
| 7   | H-DMEM | 0 RPM | T25 flask, 25 cm²/flask | FGF1 (10 ng/mL) | 36.5 | 6.8 | 10% |
| 8   | H-DMEM | 50 RPM | T75 flask, 75 cm²/flask | ESGRO (40 μM), Bmp4 (100 ng/mL) | 36.5 | 6.7 | 12% |
| 9   | H-DMEM | 50 RPM | T150 flask, 150 cm²/flask | ESGRO (60 μM), FGF1 (20 ng/mL) | 36.5 | 6.6 | 10% |
| 10  | H-DMEM | 100 RPM | CellSTACK, 150 cm² | Bmp4 (200 ng/mL), Activin A (50 ng/mL) | 36.5 | 6.7 | 8% |
| 11  | H-DMEM | 100 RPM | CellSTACK, 150 cm² | TGF-β1 (10 ng/mL), ESGRO (80 μM) | 36.5 | 6.6 | 9% |
| 12  | H-DMEM | 0 RPM | 6-well plate, 9.5 cm²/well | FGF2 (20 ng/mL), VEGF (50 ng/mL) | 36.5 | 6.7 | 11% |
| 13  | H-DMEM | 100 RPM | T75 flask, 75 cm²/flask | Bmp4 (200 ng/mL), Activin A (100 ng/mL) | 36.5 | 6.8 | 12% |
| 14  | H-DMEM | 50 RPM | CellSTACK, 150 cm² | ESGRO (100 μM), FGF1 (10 ng/mL) | 36.5 | 6.7 | 9% |
| 15  | H-DMEM | 0 RPM | T25 flask, 25 cm²/flask | VEGF (50 ng/mL), L-WNT-3A (20 ng/mL) | 36.5 | 6.8 | 10% |
| 16  | H-DMEM | 100 RPM | CellSTACK, 150 cm² | TGF-β1 (20 ng/mL), Bmp4 (200 ng/mL) | 36.5 | 6.7 | 11% |
| 17  | H-DMEM | 50 RPM | 6-well plate, 9.5 cm²/well | FGF2 (20 ng/mL), ESGRO (80 μM) | 36.5 | 6.8 | 12% |
| 18  | H-DMEM | 0 RPM | T75 flask, 75 cm²/flask | L-WNT-3A (40 ng/mL), Bmp4 (100 ng/mL) | 36.5 | 6.7 | 10% |
| 19  | H-DMEM | 100 RPM | CellSTACK, 150 cm² | VEGF (50 ng/mL), TGF-β1 (20 ng/mL) | 36.5 | 6.8 | 11% |
| 20  | H-DMEM | 0 RPM | 24-well plate, 2 cm²/well | FGF1 (10 ng/mL), ESGRO (60 μM) | 36.5 | 6.7 | 12% |
| 21  | H-DMEM | 50 RPM | T25 flask, 25 cm²/flask | Bmp4 (200 ng/mL), Activin A (100 ng/mL) | 36.5 | 6.8 | 10% |

Note: The concentrations and volumes of the compounds added daily are as follows:

* mTeSR1 contains 20 μM L-glutamine
* E8 Medium contains 100 μM L-glutamine, 2 mM CaCl2, and 0.02 mg/mL Fungizone (amphotericin B)
* H-DMEM contains 10% fetal bovine serum, 4.5 g/L glucose, 1.25 g/L NaHCO3
* ESGRO contains 50 μM L-glutamine
* L-WNT-3A and FGF2 are obtained from the same batch as VEGF
Generating protocol 57 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 + BMP-4 (50 ng/mL) | 50 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 3   | E8 medium | 50 RPM | 24-well plate, 1.9 cm²/well | VEGF (100 ng/mL) | 37°C | 7.2 | 15% |
| 4   | E8 medium + FGF-4 (20 ng/mL) | 50 RPM | 24-well plate, 1.9 cm²/well | - | 37°C | 7.2 | 15% |
| 5   | KSR medium | 50 RPM | 48-well plate, 0.95 cm²/well | TGF-β (10 ng/mL) | 37°C | 7.4 | 18% |
| 6   | KSR medium + Activin A (100 ng/mL) | 50 RPM | 48-well plate, 0.95 cm²/well | - | 37°C | 7.4 | 18% |
| 7   | hESC maintenance medium | 50 RPM | 48-well plate, 0.95 cm²/well | - | 37°C | 7.2 | 10% |
| 8   | hESC maintenance medium + FGF-4 (20 ng/mL) | 50 RPM | 48-well plate, 0.95 cm²/well | - | 37°C | 7.2 | 10% |
| 9   | H11 medium | 0 RPM | 24-well plate, 1.9 cm²/well | - | 33°C | 7.4 | 5% |
| 10  | H11 medium + PGE2 (100 ng/mL) | 0 RPM | 24-well plate, 1.9 cm²/well | - | 33°C | 7.4 | 5% |
| 11  | Matrigel + Growth Factors | 0 RPM | 48-well plate, 0.95 cm²/well | FGF-2 (20 ng/mL), HGF (100 ng/mL) | 37°C | 7.3 | 10% |
| 12  | Matrigel + Growth Factors | 0 RPM | 48-well plate, 0.95 cm²/well | - | 37°C | 7.3 | 10% |
| 13  | Matrigel + Growth Factors | 50 RPM | 24-well plate, 1.9 cm²/well | TGF-β (10 ng/mL), BMP-4 (20 ng/mL) | 37°C | 7.2 | 12% |
| 14  | Matrigel + Growth Factors | 50 RPM | 24-well plate, 1.9 cm²/well | - | 37°C | 7.2 | 12% |
| 15  | H11 medium | 0 RPM | 48-well plate, 0.95 cm²/well | - | 33°C | 7.4 | 5% |
| 16  | H11 medium + PGE2 (100 ng/mL) | 0 RPM | 48-well plate, 0.95 cm²/well | - | 33°C | 7.4 | 5% |
| 17  | Matrigel + Growth Factors | 50 RPM | 24-well plate, 1.9 cm²/well | FGF-2 (20 ng/mL), HGF (100 ng/mL) | 37°C | 7.3 | 10% |
| 18  | Matrigel + Growth Factors | 50 RPM | 24-well plate, 1.9 cm²/well | - | 37°C | 7.3 | 10% |
| 19  | KSR medium | 0 RPM | 48-well plate, 0.95 cm²/well | TGF-β (10 ng/mL) | 37°C | 7.4 | 18% |
| 20  | KSR medium + Activin A (100 ng/mL) | 0 RPM | 48-well plate, 0.95 cm²/well | - | 37°C | 7.4 | 18% |
| 21  | hESC maintenance medium | 50 RPM | 24-well plate, 1.9 cm²/well | - | 37°C | 7.2 | 10% |

Note: The input density for the H9 hESC is approximately 1-5 x 10^6 cells/mL.
Generating protocol 58 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | bFGF (10 ng/mL), TGFβ1 (5 ng/mL) | 37°C | 7.3 | 18% |
| 3   | E8 medium | 0 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.4 | 15% |
| 4   | E8 medium | 50 RPM | 24-well plate, 2 cm²/well | LIF (10 ng/mL), Heparin (5 U/mL) | 37°C | 7.3 | 12% |
| 5   | E8 medium | 50 RPM | 6-well plate, 9.5 cm²/well | PDGFB (100 ng/mL) | 37°C | 7.2 | 10% |
| 6   | Matrigel | 0 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.4 | 12% |
| 7   | Matrigel | 50 RPM | 24-well plate, 2 cm²/well | HGF (20 ng/mL), ESGRO (10 mg/mL) | 37°C | 7.3 | 10% |
| 8   | Hepatocyte-1 medium | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 15% |
| 9   | Hepatocyte-1 medium | 50 RPM | 6-well plate, 9.5 cm²/well | Wnt3a (100 ng/mL) | 37°C | 7.3 | 12% |
| 10  | Hepatocyte-1 medium | 50 RPM | 24-well plate, 2 cm²/well | TGFβ1 (5 ng/mL), G-CSF (10 ng/mL) | 37°C | 7.2 | 10% |
| 11  | Hepatocyte-1 medium | 0 RPM | 6-well plate, 9.5 cm²/well | - | 33°C | 7.4 | 12% |
| 12  | Hepatocyte-1 medium | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), FGF2 (10 ng/mL) | 33°C | 7.3 | 10% |
| 13  | Matrigel | 0 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.4 | 15% |
| 14  | Matrigel | 50 RPM | 24-well plate, 2 cm²/well | HGF (20 ng/mL), ESGRO (10 mg/mL) | 37°C | 7.3 | 12% |
| 15  | Hepatocyte-1 medium | 0 RPM | 6-well plate, 9.5 cm²/well | - | 33°C | 7.4 | 10% |
| 16  | Hepatocyte-1 medium | 50 RPM | 6-well plate, 9.5 cm²/well | TGFβ1 (5 ng/mL), G-CSF (10 ng/mL) | 33°C | 7.3 | 8% |
| 17  | Matrigel | 0 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.4 | 12% |
| 18  | Matrigel | 50 RPM | 24-well plate, 2 cm²/well | Wnt3a (100 ng/mL), ESGRO (10 mg/mL) | 37°C | 7.3 | 10% |
| 19  | Hepatocyte-1 medium | 0 RPM | 6-well plate, 9.5 cm²/well | - | 33°C | 7.4 | 8% |
| 20  | Hepatocyte-1 medium | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), FGF2 (10 ng/mL) | 33°C | 7.3 | 6% |
| 21  | Matrigel | 0 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.4 | 12% |

Note: All concentrations are in ng/mL unless specified otherwise.
Generating protocol 59 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 2   | E8 medium | 50 RPM | 6-well plate, 9.5 cm²/well | VEGF (200 ng/mL), Noggin (100 ng/mL) | 37°C | 7.3 | 18% |
| 3   | E8 medium | 75 RPM | 24-well plate, 4.5 cm²/well | BMP4 (50 ng/mL), FGF2 (20 ng/mL) | 37°C | 7.3 | 16% |
| 4   | E8 medium | 75 RPM | 24-well plate, 4.5 cm²/well | Heparin (10 μg/mL), Ascorbic acid (1 mg/mL) | 37°C | 7.2 | 14% |
| 5   | DMEM/F12 | 50 RPM | 6-well plate, 9.5 cm²/well | Glutamine (2 mM), Fetal Bovine Serum (10%) | 36.5°C | 7.1 | 12% |
| 6   | DMEM/F12 | 50 RPM | 6-well plate, 9.5 cm²/well | Insulin (0.5 U/mL), Progesterone (20 μM) | 36.5°C | 7.0 | 10% |
| 7   | Hepes-DMEM | 75 RPM | 24-well plate, 4.5 cm²/well | Glutamine (2 mM), Heparin (10 μg/mL) | 37°C | 7.1 | 8% |
| 8   | Hepes-DMEM | 75 RPM | 24-well plate, 4.5 cm²/well | TGF-β (2 ng/mL), EGF (20 ng/mL) | 37°C | 7.0 | 6% |
| 9   | M199 medium | 50 RPM | 6-well plate, 9.5 cm²/well | Insulin (0.5 U/mL), Progesterone (20 μM) | 36.5°C | 7.1 | 4% |
| 10  | M199 medium | 50 RPM | 6-well plate, 9.5 cm²/well | Glucagon (100 ng/mL), FGF2 (20 ng/mL) | 36.5°C | 7.0 | 2% |
| 11  | Williams' E media | 75 RPM | 24-well plate, 4.5 cm²/well | Heparin (10 μg/mL), Ascorbic acid (1 mg/mL) | 37°C | 7.1 | 0% |
| 12  | Williams' E media | 75 RPM | 24-well plate, 4.5 cm²/well | Insulin-like growth factor-1 (IGF-1) (50 ng/mL), Heparin (10 μg/mL) | 37°C | 7.0 | 0% |
| 13  | K-SFM medium | 50 RPM | 6-well plate, 9.5 cm²/well | bFGF (20 ng/mL), EGF (20 ng/mL) | 36.5°C | 7.1 | 2% |
| 14  | K-SFM medium | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β (2 ng/mL), Glutamine (2 mM) | 36.5°C | 7.0 | 4% |
| 15  | M199 medium | 75 RPM | 24-well plate, 4.5 cm²/well | Progesterone (20 μM), Heparin (10 μg/mL) | 37°C | 7.1 | 6% |
| 16  | Hepes-DMEM | 50 RPM | 6-well plate, 9.5 cm²/well | Glucagon (100 ng/mL), Insulin-like growth factor-1 (IGF-1) (50 ng/mL) | 36.5°C | 7.0 | 8% |
| 17  | Williams' E media | 75 RPM | 24-well plate, 4.5 cm²/well | Heparin (10 μg/mL), Ascorbic acid (1 mg/mL) | 37°C | 7.1 | 10% |
| 18  | K-SFM medium | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β (2 ng/mL), Glutamine (2 mM) | 36.5°C | 7.0 | 12% |
| 19  | M199 medium | 75 RPM | 24-well plate, 4.5 cm²/well | Progesterone (20 μM), Heparin (10 μg/mL) | 37°C | 7.1 | 14% |
| 20  | Hepes-DMEM | 50 RPM | 6-well plate, 9.5 cm²/well | Glucagon (100 ng/mL), Insulin-like growth factor-1 (IGF-1) (50 ng/mL) | 36.5°C | 7.0 | 16% |
| 21  | Williams' E media | 75 RPM | 24-well plate, 4.5 cm²/well | Heparin (10 μg/mL), Ascorbic acid (1 mg/mL) | 37°C | 7.1 | 18% |

Generating protocol 60 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | B27 Supplement (50 μM) | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1+AA | 50 RPM | 24-well plate, 3.8 cm²/well | Wnt3a (300 ng/mL), Noggin (200 ng/mL) | 37°C | 7.4 | 15% |
| 3   | mTeSR1+AA+Wnt3a+Noggin | 50 RPM | 24-well plate, 3.8 cm²/well | FGF2 (10 ng/mL), ESGRO (100 μM) | 37°C | 7.4 | 15% |
| 4   | mTeSR1+AA+Wnt3a+Noggin+FGF2 | 50 RPM | 24-well plate, 3.8 cm²/well | Heparin (5 μg/mL), FGF4 (10 ng/mL) | 37°C | 7.4 | 15% |
| 5   | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin | 50 RPM | 24-well plate, 3.8 cm²/well | Activin B (100 ng/mL), BMP4 (20 ng/mL) | 37°C | 7.4 | 15% |
| 6   | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4 | 50 RPM | 24-well plate, 3.8 cm²/well | ESGRO (200 μM), FGF7 (10 ng/mL) | 37°C | 7.4 | 15% |
| 7   | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO | 50 RPM | 24-well plate, 3.8 cm²/well | bFGF (20 ng/mL), HGF (10 ng/mL) | 37°C | 7.4 | 15% |
| 8   | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF | 50 RPM | 24-well plate, 3.8 cm²/well | Proliferin (10 μg/mL), FGF9 (10 ng/mL) | 37°C | 7.4 | 15% |
| 9   | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF+Proliferin | 50 RPM | 24-well plate, 3.8 cm²/well | Cytokinin (10 μM), FGF18 (10 ng/mL) | 37°C | 7.4 | 15% |
| 10  | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF+Proliferin+Cytokinin | 50 RPM | 24-well plate, 3.8 cm²/well | TGF-β1 (10 ng/mL), Hh-Ag1.18 (100 ng/mL) | 37°C | 7.4 | 15% |
| 11  | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF+Proliferin+Cytokinin+TGF-β1 | 50 RPM | 24-well plate, 3.8 cm²/well | Dexamethasone (100 nM), BSA (10 μg/mL) | 37°C | 7.4 | 15% |
| 12  | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF+Proliferin+Cytokinin+TGF-β1+Dexamethasone | 50 RPM | 24-well plate, 3.8 cm²/well | GDNF (10 ng/mL), BDNF (20 ng/mL) | 37°C | 7.4 | 15% |
| 13  | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF+Proliferin+Cytokinin+TGF-β1+Dexamethasone+GDNF | 50 RPM | 24-well plate, 3.8 cm²/well | Activin A (500 ng/mL), Noggin (400 ng/mL) | 37°C | 7.4 | 15% |
| 14  | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF+Proliferin+Cytokinin+TGF-β1+Dexamethasone+GDNF+Activin A | 50 RPM | 24-well plate, 3.8 cm²/well | FGF2 (20 ng/mL), ESGRO (300 μM) | 37°C | 7.4 | 15% |
| 15  | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF+Proliferin+Cytokinin+TGF-β1+Dexamethasone+GDNF+Activin A+FGF2 | 50 RPM | 24-well plate, 3.8 cm²/well | FGF7 (20 ng/mL), Heparin (10 μg/mL) | 37°C | 7.4 | 15% |
| 16  | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF+Proliferin+Cytokinin+TGF-β1+Dexamethasone+GDNF+Activin A+FGF2+FGF7 | 50 RPM | 24-well plate, 3.8 cm²/well | BSA (20 μg/mL), FGF9 (20 ng/mL) | 37°C | 7.4 | 15% |
| 17  | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF+Proliferin+Cytokinin+TGF-β1+Dexamethasone+GDNF+Activin A+FGF2+FGF7+BSA | 50 RPM | 24-well plate, 3.8 cm²/well | HGF (20 ng/mL), FGF18 (20 ng/mL) | 37°C | 7.4 | 15% |
| 18  | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF+Proliferin+Cytokinin+TGF-β1+Dexamethasone+GDNF+Activin A+FGF2+FGF7+BSA+HGF | 50 RPM | 24-well plate, 3.8 cm²/well | Proliferin (20 μg/mL), TGF-β3 (10 ng/mL) | 37°C | 7.4 | 15% |
| 19  | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF+Proliferin+Cytokinin+TGF-β1+Dexamethasone+GDNF+Activin A+FGF2+FGF7+BSA+HGF+Proliferin | 50 RPM | 24-well plate, 3.8 cm²/well | ESGRO (400 μM), FGF10 (20 ng/mL) | 37°C | 7.4 | 15% |
| 20  | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF+Proliferin+Cytokinin+TGF-β1+Dexamethasone+GDNF+Activin A+FGF2+FGF7+BSA+HGF+Proliferin+ESGRO | 50 RPM | 24-well plate, 3.8 cm²/well | FGF16 (20 ng/mL), Hh-Ag1.18 (200 ng/mL) | 37°C | 7.4 | 15% |
| 21  | mTeSR1+AA+Wnt3a+Noggin+FGF2+Heparin+BMP4+ESGRO+bFGF+Proliferin+Cytokinin+TGF-β1+Dexamethasone+GDNF+Activin A+FGF2+FGF7+BSA+HGF+Proliferin+ESGRO+FGF16 | 50 RPM | 24-well plate, 3.8 cm²/well | Cytokinin (20 μM), FGF5 (20 ng/mL) | 37°C | 7.4 | 15% |

Generating protocol 61 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compounds | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL) | 37°C | 7.3 | 18% |
| 3   | RPMI-1640 | 75 RPM | 24-well plate, 2 cm²/well | FGF-4 (50 ng/mL), VEGF (10 ng/mL) | 37°C | 7.2 | 15% |
| 4   | RPMI-1640 | 75 RPM | 24-well plate, 2 cm²/well | FGF-4 (50 ng/mL), VEGF (10 ng/mL), B27 (1x) | 37°C | 7.2 | 15% |
| 5   | RPMI-1640 | 75 RPM | 24-well plate, 2 cm²/well | FGF-4 (50 ng/mL), VEGF (10 ng/mL), B27 (1x) | 37°C | 7.1 | 12% |
| 6   | DMEM/F12 | 50 RPM | 35 mm dish, 21 cm²/dish | Insulin (5 μg/mL), HGF (50 ng/mL), Activin A (100 ng/mL) | 37°C | 7.0 | 10% |
| 7   | DMEM/F12 | 50 RPM | 35 mm dish, 21 cm²/dish | Insulin (5 μg/mL), HGF (50 ng/mL), Activin A (100 ng/mL) | 37°C | 6.9 | 8% |
| 8   | DMEM/F12 | 25 RPM | 60 mm dish, 91 cm²/dish | TGF-β1 (10 ng/mL), HGF (50 ng/mL), Activin A (100 ng/mL) | 37°C | 6.8 | 5% |
| 9   | DMEM/F12 | 25 RPM | 60 mm dish, 91 cm²/dish | TGF-β1 (10 ng/mL), HGF (50 ng/mL), Activin A (100 ng/mL) | 37°C | 6.7 | 5% |
| 10  | DMEM/F12 | 0 RPM | 60 mm dish, 91 cm²/dish | FGF-4 (50 ng/mL), VEGF (10 ng/mL), HGF (50 ng/mL) | 37°C | 6.6 | 2% |
